,K,THETA,Mean_Time
0,12,1.2,49.09470637137481
1,12,1.3,50.31003399899249
2,12,1.4,51.43825094192423
3,12,1.5,52.58047291223545
4,12,1.6,53.8959968267423
5,12,1.7,55.12228686545181
6,12,1.8,56.3218014945633
7,13,1.2,49.999752377654886
8,13,1.3,51.24319724079569
9,13,1.4,52.80284023123686
10,13,1.5,54.113443431538336
11,13,1.6,55.242996834527176
12,13,1.7,56.56111626121479
13,13,1.8,58.07484621619516
14,14,1.2,51.23740867637856
15,14,1.3,52.902485211338124
16,14,1.4,54.12060345461369
17,14,1.5,55.840649352408384
18,14,1.6,57.054368751728965
19,14,1.7,58.66086738223897
20,14,1.8,59.57403923819938
21,15,1.2,52.46627470866634
22,15,1.3,54.12166202426316
23,15,1.4,55.693277780375695
24,15,1.5,57.28311161893061
25,15,1.6,58.216746452185205
26,15,1.7,60.07068074216003
27,15,1.8,61.71460671707223
28,16,1.2,53.92530578617547
29,16,1.3,55.19765151980707
30,16,1.4,56.83466766785839
31,16,1.5,58.83214274216426
32,16,1.6,60.04359436923253
33,16,1.7,61.78379298474308
34,16,1.8,62.806619833378285
35,17,1.2,54.922184242419014
36,17,1.3,56.76579361620511
37,17,1.4,58.659586513553386
38,17,1.5,59.92105136954145
39,17,1.6,62.15269164342908
40,17,1.7,63.22041523772808
41,17,1.8,65.42798606492195
42,18,1.2,56.02281738300247
43,18,1.3,58.40640571713612
44,18,1.4,59.80507697278666
45,18,1.5,61.73390508155024
46,18,1.6,63.2932490296038
47,18,1.7,65.34242621833472
48,18,1.8,66.80803748730123
