,K,THETA,Mean_Time
0,12,1.2,52.90845297509334
1,12,1.3,54.234488989325136
2,12,1.4,55.297610190842825
3,12,1.5,56.15153968762405
4,12,1.6,57.6148830826052
5,12,1.7,58.71537598301459
6,12,1.8,59.68956686635737
7,13,1.2,54.292710841576906
8,13,1.3,55.20410321880343
9,13,1.4,56.58817571169159
10,13,1.5,57.96148819180265
11,13,1.6,58.64357573116763
12,13,1.7,60.5387840288304
13,13,1.8,62.15178684287911
14,14,1.2,55.150168611857836
15,14,1.3,56.64059264353485
16,14,1.4,58.0492944680468
17,14,1.5,59.79259019786515
18,14,1.6,61.07897961918819
19,14,1.7,62.49990704200438
20,14,1.8,63.918834871827606
21,15,1.2,56.27510057596717
22,15,1.3,57.772309645939565
23,15,1.4,59.55458980333296
24,15,1.5,60.99913640343993
25,15,1.6,61.68224714531364
26,15,1.7,63.92365967624669
27,15,1.8,65.84735139256713
28,16,1.2,57.72614872659961
29,16,1.3,59.42930521383695
30,16,1.4,60.89205322185117
31,16,1.5,62.66687644610662
32,16,1.6,63.773940938897574
33,16,1.7,65.2680260653684
34,16,1.8,67.1049883242171
35,17,1.2,58.65154097916824
36,17,1.3,60.216566685568885
37,17,1.4,62.57229120411481
38,17,1.5,64.39627782594772
39,17,1.6,65.65851694432016
40,17,1.7,67.02591710945362
41,17,1.8,69.21309328716559
42,18,1.2,59.65412674904083
43,18,1.3,61.5736280235882
44,18,1.4,63.345901903045615
45,18,1.5,65.48762795131935
46,18,1.6,67.98817613028146
47,18,1.7,68.97562892998195
48,18,1.8,71.03147640573235
