,K,THETA,Mean_Time
0,12,1.2,52.004112452804854
1,12,1.3,53.298432623409546
2,12,1.4,54.33324461027545
3,12,1.5,55.92506847422395
4,12,1.6,57.234259859933225
5,12,1.7,59.13688509022635
6,12,1.8,60.18504123789587
7,13,1.2,52.853785907028396
8,13,1.3,54.72340929442942
9,13,1.4,56.141129698149015
10,13,1.5,57.60060337644736
11,13,1.6,59.06773603776754
12,13,1.7,60.74811668529618
13,13,1.8,61.89375232145541
14,14,1.2,54.403002911746384
15,14,1.3,55.936354399099784
16,14,1.4,57.46023290343756
17,14,1.5,59.09837588188007
18,14,1.6,60.43500440904648
19,14,1.7,62.683945394892376
20,14,1.8,63.92084850465989
21,15,1.2,55.890424979031536
22,15,1.3,57.42960583091376
23,15,1.4,59.39688091931149
24,15,1.5,60.427178390581936
25,15,1.6,62.56308663251381
26,15,1.7,64.91546902756772
27,15,1.8,65.71777350671854
28,16,1.2,57.454365213523175
29,16,1.3,59.24043967516342
30,16,1.4,60.66339937791483
31,16,1.5,62.97857746147321
32,16,1.6,64.82031363595783
33,16,1.7,65.53452854863995
34,16,1.8,68.65508824784546
35,17,1.2,58.224821944472936
36,17,1.3,60.43332695985948
37,17,1.4,62.55665565120528
38,17,1.5,64.23592761424509
39,17,1.6,65.94230754612214
40,17,1.7,68.36013302038867
41,17,1.8,70.26573298422632
42,18,1.2,59.60606026556459
43,18,1.3,62.23365732505943
44,18,1.4,63.66367840288491
45,18,1.5,65.99725800647026
46,18,1.6,68.31257346093862
47,18,1.7,69.86661283752993
48,18,1.8,71.89074905753168
