,clb5_K_Theta,cdh1_K_Theta,Mean_Time
0,17.55,17.55,45.458532079652876
1,17.55,18.849999999999998,46.81899959212884
2,17.55,19.5,47.51179180936131
3,17.55,21.45,49.37681700751659
4,17.55,22.75,50.55000408248737
5,17.55,18.900000000000002,46.933850666860145
6,17.55,20.3,48.37774489774784
7,17.55,21.0,49.05661434983609
8,17.55,23.099999999999998,50.6860567774289
9,17.55,24.5,51.860050846385846
10,17.55,20.25,48.229216174864206
11,17.55,21.75,49.58394404968781
12,17.55,22.5,50.2953558117226
13,17.55,24.75,52.461703179746024
14,17.55,26.25,53.91705220656949
15,17.55,21.6,49.5946131722862
16,17.55,23.2,50.748535252236586
17,17.55,24.0,51.62608379628524
18,17.55,26.4,53.79279915514939
19,17.55,28.0,55.39269226304601
20,17.55,22.950000000000003,50.74558686923175
21,17.55,24.65,52.357034681492635
22,17.55,25.5,53.15139771834811
23,17.55,28.049999999999997,55.20352972348037
24,17.55,29.75,56.810973304203976
25,17.55,24.3,52.10402912935982
26,17.55,26.099999999999998,53.386739203851235
27,17.55,27.0,54.288591498582456
28,17.55,29.7,56.6417984509914
29,17.55,31.5,58.79837576199063
30,18.849999999999998,17.55,47.20599039164337
31,18.849999999999998,18.849999999999998,48.40009970785562
32,18.849999999999998,19.5,49.152336239190625
33,18.849999999999998,21.45,50.500922316001926
34,18.849999999999998,22.75,51.997080650640285
35,18.849999999999998,18.900000000000002,48.13962608207513
36,18.849999999999998,20.3,49.82803704931798
37,18.849999999999998,21.0,50.15361605669522
38,18.849999999999998,23.099999999999998,52.0980668402771
39,18.849999999999998,24.5,53.464427667516624
40,18.849999999999998,20.25,49.741985426598255
41,18.849999999999998,21.75,50.94260456114717
42,18.849999999999998,22.5,51.542029974271905
43,18.849999999999998,24.75,53.61327377309156
44,18.849999999999998,26.25,54.62811638072059
45,18.849999999999998,21.6,50.95328359158363
46,18.849999999999998,23.2,52.19217176099127
47,18.849999999999998,24.0,53.08325437695962
48,18.849999999999998,26.4,55.25870295061656
49,18.849999999999998,28.0,56.35037930575747
50,18.849999999999998,22.950000000000003,51.54733558863575
51,18.849999999999998,24.65,53.6532205705792
52,18.849999999999998,25.5,54.409771950367876
53,18.849999999999998,28.049999999999997,56.83456707205008
54,18.849999999999998,29.75,58.08682877516097
55,18.849999999999998,24.3,53.302477900688004
56,18.849999999999998,26.099999999999998,54.97836212568883
57,18.849999999999998,27.0,55.54479818783232
58,18.849999999999998,29.7,58.316979918641174
59,18.849999999999998,31.5,59.4644391772115
60,19.5,17.55,47.79390833914016
61,19.5,18.849999999999998,49.16656810962036
62,19.5,19.5,49.81670655004889
63,19.5,21.45,51.434106354160484
64,19.5,22.75,52.34088392803444
65,19.5,18.900000000000002,49.079451849403185
66,19.5,20.3,50.24674362967872
67,19.5,21.0,50.71151173443869
68,19.5,23.099999999999998,52.748567101480674
69,19.5,24.5,53.84801382456207
70,19.5,20.25,50.336338578500424
71,19.5,21.75,51.508208390192685
72,19.5,22.5,52.061501249358464
73,19.5,24.75,54.247704354900975
74,19.5,26.25,55.7242962984889
75,19.5,21.6,51.33868159557195
76,19.5,23.2,52.65149466057513
77,19.5,24.0,53.55675021939452
78,19.5,26.4,55.95648503990362
79,19.5,28.0,57.551862491463126
80,19.5,22.950000000000003,52.50387291633055
81,19.5,24.65,54.24134360592289
82,19.5,25.5,55.16378676786873
83,19.5,28.049999999999997,57.08623609147857
84,19.5,29.75,58.68090742818428
85,19.5,24.3,54.02165470883258
86,19.5,26.099999999999998,55.22164663703173
87,19.5,27.0,56.400136344138026
88,19.5,29.7,58.597241026042035
89,19.5,31.5,60.028303363385724
90,21.45,17.55,49.496524136089164
91,21.45,18.849999999999998,51.05882181622083
92,21.45,19.5,51.406286600114285
93,21.45,21.45,53.28897006014073
94,21.45,22.75,54.20930644265596
95,21.45,18.900000000000002,50.91212167160986
96,21.45,20.3,52.13988414878616
97,21.45,21.0,52.87586785010941
98,21.45,23.099999999999998,54.596111324809236
99,21.45,24.5,55.96919115559162
100,21.45,20.25,52.21554053092516
101,21.45,21.75,53.628736510549324
102,21.45,22.5,54.23220899773444
103,21.45,24.75,56.35608533787263
104,21.45,26.25,57.82245527725328
105,21.45,21.6,53.46277490821409
106,21.45,23.2,54.776772357177265
107,21.45,24.0,55.84636598400314
108,21.45,26.4,57.27706905044361
109,21.45,28.0,58.780710350635744
110,21.45,22.950000000000003,54.76595507452897
111,21.45,24.65,55.78609413715307
112,21.45,25.5,57.01138744620082
113,21.45,28.049999999999997,59.26540538412084
114,21.45,29.75,60.60121917889172
115,21.45,24.3,56.10824122108619
116,21.45,26.099999999999998,57.174838957728454
117,21.45,27.0,58.19783911527159
118,21.45,29.7,60.569730972022846
119,21.45,31.5,62.333420227206005
120,22.75,17.55,51.06068864580355
121,22.75,18.849999999999998,52.114106110859964
122,22.75,19.5,52.85812130098362
123,22.75,21.45,54.56676400862731
124,22.75,22.75,55.7992583691326
125,22.75,18.900000000000002,52.37956176952251
126,22.75,20.3,53.63123764344658
127,22.75,21.0,54.003629880917394
128,22.75,23.099999999999998,55.94537107057431
129,22.75,24.5,57.330825484574696
130,22.75,20.25,53.41480603143917
131,22.75,21.75,55.07196109024507
132,22.75,22.5,55.630012763200504
133,22.75,24.75,57.30954378086734
134,22.75,26.25,58.79494894103275
135,22.75,21.6,54.73500534332709
136,22.75,23.2,56.27977402386775
137,22.75,24.0,56.631657570688326
138,22.75,26.4,58.8741805931614
139,22.75,28.0,60.69312684140057
140,22.75,22.950000000000003,55.99411132704477
141,22.75,24.65,57.377128639727964
142,22.75,25.5,58.1110589211234
143,22.75,28.049999999999997,60.88162236740315
144,22.75,29.75,61.75832425691551
145,22.75,24.3,57.08854342052672
146,22.75,26.099999999999998,58.694344323512034
147,22.75,27.0,59.62580090175823
148,22.75,29.7,62.05447210786242
149,22.75,31.5,63.77769569915023
150,18.900000000000002,17.55,47.27839508988922
151,18.900000000000002,18.849999999999998,48.4519083292475
152,18.900000000000002,19.5,48.61625702129975
153,18.900000000000002,21.45,50.632784571056185
154,18.900000000000002,22.75,51.87424550458725
155,18.900000000000002,18.900000000000002,48.29408826271256
156,18.900000000000002,20.3,50.0594304891352
157,18.900000000000002,21.0,50.18435528426367
158,18.900000000000002,23.099999999999998,52.43454506072136
159,18.900000000000002,24.5,53.396833910110466
160,18.900000000000002,20.25,49.464628953654596
161,18.900000000000002,21.75,50.898838049566756
162,18.900000000000002,22.5,51.74292284316745
163,18.900000000000002,24.75,53.36708015077945
164,18.900000000000002,26.25,55.04233677360085
165,18.900000000000002,21.6,50.75226683335464
166,18.900000000000002,23.2,52.34063323475958
167,18.900000000000002,24.0,52.88319215380355
168,18.900000000000002,26.4,55.53291884482756
169,18.900000000000002,28.0,56.74647967037095
170,18.900000000000002,22.950000000000003,51.94365490500826
171,18.900000000000002,24.65,53.53084118398978
172,18.900000000000002,25.5,54.36231174069462
173,18.900000000000002,28.049999999999997,56.928277470742366
174,18.900000000000002,29.75,58.49334258363462
175,18.900000000000002,24.3,53.60220419714942
176,18.900000000000002,26.099999999999998,54.7133138566204
177,18.900000000000002,27.0,55.73423741279274
178,18.900000000000002,29.7,58.25427454504265
179,18.900000000000002,31.5,60.11612732581
180,20.3,17.55,48.487915277805065
181,20.3,18.849999999999998,49.75678068684974
182,20.3,19.5,50.3523250614842
183,20.3,21.45,51.9092353900786
184,20.3,22.75,53.53397959063478
185,20.3,18.900000000000002,49.7777257687398
186,20.3,20.3,50.846127310849766
187,20.3,21.0,51.766392344249546
188,20.3,23.099999999999998,53.56206947137465
189,20.3,24.5,55.13528410579195
190,20.3,20.25,50.97185299464521
191,20.3,21.75,52.38411420375374
192,20.3,22.5,52.95143638667767
193,20.3,24.75,54.756477198742076
194,20.3,26.25,56.50006215411425
195,20.3,21.6,52.153756509009355
196,20.3,23.2,53.44522791768477
197,20.3,24.0,54.53630703309228
198,20.3,26.4,56.73251370766411
199,20.3,28.0,57.94052074051946
200,20.3,22.950000000000003,53.45334101392475
201,20.3,24.65,54.733840803122334
202,20.3,25.5,55.85585434497288
203,20.3,28.049999999999997,58.268301095678595
204,20.3,29.75,59.6630394029629
205,20.3,24.3,54.56996689977932
206,20.3,26.099999999999998,56.28278704806325
207,20.3,27.0,57.23093322034995
208,20.3,29.7,59.621627132761944
209,20.3,31.5,61.48788459239003
210,21.0,17.55,49.14241173181954
211,21.0,18.849999999999998,50.30211068957363
212,21.0,19.5,50.970188713303095
213,21.0,21.45,52.76528888704861
214,21.0,22.75,53.70049654124804
215,21.0,18.900000000000002,50.478851387172014
216,21.0,20.3,51.78030971963115
217,21.0,21.0,52.52292797608077
218,21.0,23.099999999999998,54.47179793372261
219,21.0,24.5,55.390754179449246
220,21.0,20.25,51.552657759425664
221,21.0,21.75,53.11179250125845
222,21.0,22.5,53.29711265522721
223,21.0,24.75,55.48703686003944
224,21.0,26.25,57.05634129965873
225,21.0,21.6,53.174953793748365
226,21.0,23.2,54.316132311544095
227,21.0,24.0,55.041786421079685
228,21.0,26.4,57.14910271787215
229,21.0,28.0,58.680423273259834
230,21.0,22.950000000000003,53.7891677236037
231,21.0,24.65,55.85698018820447
232,21.0,25.5,56.3701529125882
233,21.0,28.049999999999997,58.75770729883849
234,21.0,29.75,60.07436839704168
235,21.0,24.3,55.343067479073135
236,21.0,26.099999999999998,56.98327197217407
237,21.0,27.0,58.03851974380185
238,21.0,29.7,60.37782357039391
239,21.0,31.5,61.967772240236364
240,23.099999999999998,17.55,51.64208345506671
241,23.099999999999998,18.849999999999998,52.74309693906136
242,23.099999999999998,19.5,53.32846075028079
243,23.099999999999998,21.45,54.6429157168699
244,23.099999999999998,22.75,56.00536364254192
245,23.099999999999998,18.900000000000002,52.50777646987221
246,23.099999999999998,20.3,53.74639340356621
247,23.099999999999998,21.0,54.51265639850125
248,23.099999999999998,23.099999999999998,56.14158316395997
249,23.099999999999998,24.5,57.625495671369336
250,23.099999999999998,20.25,53.885402753528744
251,23.099999999999998,21.75,54.99641718308986
252,23.099999999999998,22.5,55.88331913432062
253,23.099999999999998,24.75,58.00879400251825
254,23.099999999999998,26.25,59.639680234987054
255,23.099999999999998,21.6,54.75164050317344
256,23.099999999999998,23.2,56.54666209989355
257,23.099999999999998,24.0,57.31120209230595
258,23.099999999999998,26.4,59.11922596956644
259,23.099999999999998,28.0,61.04485161297414
260,23.099999999999998,22.950000000000003,56.226407416011774
261,23.099999999999998,24.65,57.9976202763983
262,23.099999999999998,25.5,58.35721605793606
263,23.099999999999998,28.049999999999997,60.97131477067768
264,23.099999999999998,29.75,62.4844771642095
265,23.099999999999998,24.3,57.697008980986176
266,23.099999999999998,26.099999999999998,58.701935165135566
267,23.099999999999998,27.0,59.86741198533011
268,23.099999999999998,29.7,61.940288787418034
