,cdh1_K_Theta,cdc5_K_Theta,Mean_Time
0,17.55,17.55,47.21089433026175
1,17.55,18.849999999999998,48.52999116446448
2,17.55,19.5,49.12333017965653
3,17.55,21.45,51.152826180874875
4,17.55,22.75,52.26520226278709
5,17.55,18.900000000000002,48.504489369394165
6,17.55,20.3,49.889867004941685
7,17.55,21.0,50.59602530859291
8,17.55,23.099999999999998,52.69088686843977
9,17.55,24.5,54.05667884174594
10,17.55,20.25,50.01072336593562
11,17.55,21.75,51.3944034241271
12,17.55,22.5,52.08104546284544
13,17.55,24.75,54.37209141473388
14,17.55,26.25,55.923520005655874
15,17.55,21.6,51.170475066088414
16,17.55,23.2,52.83946698948249
17,17.55,24.0,53.71264698048695
18,17.55,26.4,55.97418658250868
19,17.55,28.0,57.627608047341006
20,17.55,22.950000000000003,52.593323737305525
21,17.55,24.65,54.280005570166345
22,17.55,25.5,55.11908228500206
23,17.55,28.049999999999997,57.78190821959048
24,17.55,29.75,59.33080830064284
25,17.55,24.3,53.85998557486761
26,17.55,26.099999999999998,55.65273480080837
27,17.55,27.0,56.718104830187954
28,17.55,29.7,59.249853633145314
29,17.55,31.5,61.24887790143096
30,18.849999999999998,17.55,48.44190220651233
31,18.849999999999998,18.849999999999998,49.82289199567147
32,18.849999999999998,19.5,50.491380645899966
33,18.849999999999998,21.45,52.399134297070695
34,18.849999999999998,22.75,53.760905904230775
35,18.849999999999998,18.900000000000002,49.77734203833005
36,18.849999999999998,20.3,51.10436166351635
37,18.849999999999998,21.0,51.93823149205104
38,18.849999999999998,23.099999999999998,53.97108933444009
39,18.849999999999998,24.5,55.42363091072731
40,18.849999999999998,20.25,51.17968077497019
41,18.849999999999998,21.75,52.685401199335395
42,18.849999999999998,22.5,53.47923475612996
43,18.849999999999998,24.75,55.628827537309846
44,18.849999999999998,26.25,57.17384490935134
45,18.849999999999998,21.6,52.5200779428707
46,18.849999999999998,23.2,54.18527307123663
47,18.849999999999998,24.0,54.99055932835738
48,18.849999999999998,26.4,57.38530818558016
49,18.849999999999998,28.0,58.93417934309399
50,18.849999999999998,22.950000000000003,53.83931890740271
51,18.849999999999998,24.65,55.555647026158816
52,18.849999999999998,25.5,56.36255580092336
53,18.849999999999998,28.049999999999997,59.01860364888061
54,18.849999999999998,29.75,60.65943989061485
55,18.849999999999998,24.3,55.191256803571775
56,18.849999999999998,26.099999999999998,57.08776577689567
57,18.849999999999998,27.0,57.936280591069014
58,18.849999999999998,29.7,60.63082553111634
59,18.849999999999998,31.5,62.432271769439154
60,19.5,17.55,49.22760730232855
61,19.5,18.849999999999998,50.52259248232327
62,19.5,19.5,51.10068111104932
63,19.5,21.45,53.06235429871352
64,19.5,22.75,54.35210129366213
65,19.5,18.900000000000002,50.560561384742094
66,19.5,20.3,51.88845662712498
67,19.5,21.0,52.54509297716017
68,19.5,23.099999999999998,54.62845191590344
69,19.5,24.5,56.053900494094506
70,19.5,20.25,51.86684409562226
71,19.5,21.75,53.35335281151143
72,19.5,22.5,54.12210681392593
73,19.5,24.75,56.245829995391595
74,19.5,26.25,57.90180178328094
75,19.5,21.6,53.21528936849733
76,19.5,23.2,54.69129801547233
77,19.5,24.0,55.70059319714299
78,19.5,26.4,58.04747792793137
79,19.5,28.0,59.58498024775956
80,19.5,22.950000000000003,54.519868623605454
81,19.5,24.65,56.25724551691714
82,19.5,25.5,57.1228112589381
83,19.5,28.049999999999997,59.65321676672185
84,19.5,29.75,61.45412582072497
85,19.5,24.3,55.9986358031687
86,19.5,26.099999999999998,57.62566589553971
87,19.5,27.0,58.46436131956971
88,19.5,29.7,61.35619566357276
89,19.5,31.5,62.94405184105069
90,21.45,17.55,51.05039899744456
91,21.45,18.849999999999998,52.313476111271385
92,21.45,19.5,53.11516454021141
93,21.45,21.45,55.01747922812459
94,21.45,22.75,56.34308932941737
95,21.45,18.900000000000002,52.53803802225437
96,21.45,20.3,53.67921645410343
97,21.45,21.0,54.60315187426185
98,21.45,23.099999999999998,56.58609276910319
99,21.45,24.5,58.04414678057973
100,21.45,20.25,53.66197851394345
101,21.45,21.75,55.255425541718296
102,21.45,22.5,55.9545964522559
103,21.45,24.75,58.20903177266121
104,21.45,26.25,59.64880233576575
105,21.45,21.6,55.229507292558026
106,21.45,23.2,56.833380123410066
107,21.45,24.0,57.644134041619274
108,21.45,26.4,59.85706290366632
109,21.45,28.0,61.56507655703045
110,21.45,22.950000000000003,56.51918383425369
111,21.45,24.65,58.313761859696264
112,21.45,25.5,58.990785958640586
113,21.45,28.049999999999997,61.62311334003819
114,21.45,29.75,63.32771802439868
115,21.45,24.3,57.81350708021039
116,21.45,26.099999999999998,59.57031817771933
117,21.45,27.0,60.695920071732985
118,21.45,29.7,63.22945416662878
119,21.45,31.5,65.02180121363875
120,22.75,17.55,52.29689395889454
121,22.75,18.849999999999998,53.64984201426238
122,22.75,19.5,54.349168997268706
