,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,time,cell_size,critical_size,divide status,SPN_p,SPO_p
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.65,0.5697628220658169,,0.0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6160586734903912,0.6530906984638307,0.5697628220658169,,0.0,0.0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.4106566554002822,0.6570988206592964,0.5697628220658169,,0.0,0.0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.1827723622126314,0.6661265783595938,0.5697628220658169,,0.0,0.0
4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.8185031176370945,0.6745695858507784,0.5697628220658169,,0.0,0.0
5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.97374549330133,0.6805968972342277,0.5697628220658169,,0.0,0.0
6,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,6.3954224296918,0.6828103272082524,0.5697628220658169,,0.0,0.0
7,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,7.014547782172048,0.6860732365263973,0.5697628220658169,,0.0,0.0
8,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,8.367585921269212,0.6932583814345472,0.5697628220658169,,0.0,0.0
9,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,10.04561046655382,0.7022739453760621,0.5697628220658169,,0.0,0.0
10,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,11.292219256554338,0.7090474511526215,0.5697628220658169,,0.0,0.0
11,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,12.466357708572861,0.7154869195268614,0.5697628220658169,,0.0,0.0
12,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,13.541158989607254,0.721432837894417,0.5697628220658169,,0.06926151024651304,0.0
13,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,14.452676907327259,0.7265141611237925,0.5697628220658169,,0.1426758391063729,0.0
14,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,15.366610790813308,0.7316448846433811,0.5697628220658169,,0.21331023202253524,0.0
15,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,15.75791288463271,0.7338526741866696,0.5697628220658169,,0.28540152086479603,0.0
16,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,16.670106940384766,0.7390253225514669,0.5697628220658169,,0.35543336820845306,0.0
17,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,17.244588759919388,0.7423016495539283,0.5697628220658169,,0.4241586862326685,0.0
18,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,17.987348677108457,0.7465592227346554,0.5697628220658169,,0.4965341474792716,0.0
