,index,variable,value
0,Cdh1,0.0,1.0
1,Clb6,0.0,0.0
2,MBF,0.0,0.0
3,Nrm1,0.0,0.0
4,Cdh1,0.47355322410088063,1.0
5,Clb6,0.47355322410088063,0.0
6,MBF,0.47355322410088063,0.0
7,Nrm1,0.47355322410088063,0.0
8,Cdh1,0.899205707911766,1.0
9,Clb6,0.899205707911766,0.0
10,MBF,0.899205707911766,0.0
11,Nrm1,0.899205707911766,0.0
12,Cdh1,1.8071868648235951,1.0
13,Clb6,1.8071868648235951,0.0
14,MBF,1.8071868648235951,0.0
15,Nrm1,1.8071868648235951,0.0
16,Cdh1,2.435661745921963,1.0
17,Clb6,2.435661745921963,0.0
18,MBF,2.435661745921963,0.0
19,Nrm1,2.435661745921963,0.0
20,Cdh1,3.3521301575495763,1.0
21,Clb6,3.3521301575495763,0.0
22,MBF,3.3521301575495763,1.0
23,Nrm1,3.3521301575495763,0.0
24,Cdh1,3.6019921600434635,1.0
25,Clb6,3.6019921600434635,0.0
26,MBF,3.6019921600434635,1.0
27,Nrm1,3.6019921600434635,1.0
28,Cdh1,4.669909547190899,1.0
29,Clb6,4.669909547190899,0.0
30,MBF,4.669909547190899,0.0
31,Nrm1,4.669909547190899,1.0
32,Cdh1,5.379753451427278,1.0
33,Clb6,5.379753451427278,1.0
34,MBF,5.379753451427278,0.0
35,Nrm1,5.379753451427278,1.0
36,Cdh1,6.506159499046917,1.0
37,Clb6,6.506159499046917,1.0
38,MBF,6.506159499046917,0.0
39,Nrm1,6.506159499046917,1.0
40,Cdh1,8.098626827556236,0.0
41,Clb6,8.098626827556236,1.0
42,MBF,8.098626827556236,0.0
43,Nrm1,8.098626827556236,1.0
44,Cdh1,8.36077801031359,0.0
45,Clb6,8.36077801031359,1.0
46,MBF,8.36077801031359,0.0
47,Nrm1,8.36077801031359,1.0
48,Cdh1,9.533065277561834,0.0
49,Clb6,9.533065277561834,1.0
50,MBF,9.533065277561834,0.0
51,Nrm1,9.533065277561834,1.0
52,Cdh1,10.213999592170689,0.0
53,Clb6,10.213999592170689,0.0
54,MBF,10.213999592170689,0.0
55,Nrm1,10.213999592170689,1.0
56,Cdh1,11.077702408756371,0.0
57,Clb6,11.077702408756371,0.0
58,MBF,11.077702408756371,0.0
59,Nrm1,11.077702408756371,1.0
60,Cdh1,12.429730937006974,0.0
61,Clb6,12.429730937006974,0.0
62,MBF,12.429730937006974,0.0
63,Nrm1,12.429730937006974,1.0
64,Cdh1,12.806423800851958,0.0
65,Clb6,12.806423800851958,0.0
66,MBF,12.806423800851958,0.0
67,Nrm1,12.806423800851958,1.0
68,Cdh1,13.815657915479887,0.0
69,Clb6,13.815657915479887,0.0
70,MBF,13.815657915479887,0.0
71,Nrm1,13.815657915479887,1.0
72,Cdh1,14.203089233880986,0.0
73,Clb6,14.203089233880986,0.0
74,MBF,14.203089233880986,0.0
75,Nrm1,14.203089233880986,1.0
76,Cdh1,14.857652920667908,0.0
77,Clb6,14.857652920667908,0.0
78,MBF,14.857652920667908,0.0
79,Nrm1,14.857652920667908,1.0
80,Cdh1,17.09015913360259,0.0
81,Clb6,17.09015913360259,0.0
82,MBF,17.09015913360259,0.0
