,index,variable,value
0,Cdh1,0.0,1.0
1,Clb6,0.0,0.0
2,MBF,0.0,0.0
3,Nrm1,0.0,0.0
4,Cdh1,1.08785022201007,1.0
5,Clb6,1.08785022201007,0.0
6,MBF,1.08785022201007,0.0
7,Nrm1,1.08785022201007,0.0
8,Cdh1,1.9598621513077317,1.0
9,Clb6,1.9598621513077317,0.0
10,MBF,1.9598621513077317,1.0
11,Nrm1,1.9598621513077317,0.0
12,Cdh1,2.6844780515807183,1.0
13,Clb6,2.6844780515807183,0.0
14,MBF,2.6844780515807183,1.0
15,Nrm1,2.6844780515807183,0.0
16,Cdh1,3.2606746839615868,1.0
17,Clb6,3.2606746839615868,1.0
18,MBF,3.2606746839615868,1.0
19,Nrm1,3.2606746839615868,0.0
20,Cdh1,3.8039945342145898,1.0
21,Clb6,3.8039945342145898,1.0
22,MBF,3.8039945342145898,1.0
23,Nrm1,3.8039945342145898,0.0
24,Cdh1,5.182282016978397,1.0
25,Clb6,5.182282016978397,1.0
26,MBF,5.182282016978397,1.0
27,Nrm1,5.182282016978397,0.0
28,Cdh1,6.010323303620498,0.0
29,Clb6,6.010323303620498,1.0
30,MBF,6.010323303620498,1.0
31,Nrm1,6.010323303620498,0.0
32,Cdh1,6.44834737115842,0.0
33,Clb6,6.44834737115842,1.0
34,MBF,6.44834737115842,1.0
35,Nrm1,6.44834737115842,1.0
36,Cdh1,6.9401366895963985,0.0
37,Clb6,6.9401366895963985,1.0
38,MBF,6.9401366895963985,1.0
39,Nrm1,6.9401366895963985,1.0
40,Cdh1,7.208474622906726,0.0
41,Clb6,7.208474622906726,1.0
42,MBF,7.208474622906726,1.0
43,Nrm1,7.208474622906726,1.0
44,Cdh1,8.471699761032816,0.0
45,Clb6,8.471699761032816,1.0
46,MBF,8.471699761032816,0.0
47,Nrm1,8.471699761032816,1.0
48,Cdh1,8.7405116725259,0.0
49,Clb6,8.7405116725259,1.0
50,MBF,8.7405116725259,0.0
51,Nrm1,8.7405116725259,1.0
52,Cdh1,9.75823045395773,0.0
53,Clb6,9.75823045395773,1.0
54,MBF,9.75823045395773,0.0
55,Nrm1,9.75823045395773,1.0
56,Cdh1,10.130325760582448,0.0
57,Clb6,10.130325760582448,1.0
58,MBF,10.130325760582448,0.0
59,Nrm1,10.130325760582448,1.0
60,Cdh1,10.210094442461942,0.0
61,Clb6,10.210094442461942,0.0
62,MBF,10.210094442461942,0.0
63,Nrm1,10.210094442461942,1.0
64,Cdh1,10.462606792502797,0.0
65,Clb6,10.462606792502797,0.0
66,MBF,10.462606792502797,0.0
67,Nrm1,10.462606792502797,1.0
68,Cdh1,10.989008553163808,0.0
69,Clb6,10.989008553163808,0.0
70,MBF,10.989008553163808,0.0
71,Nrm1,10.989008553163808,1.0
72,Cdh1,12.690846899210062,0.0
73,Clb6,12.690846899210062,0.0
74,MBF,12.690846899210062,0.0
75,Nrm1,12.690846899210062,1.0
76,Cdh1,13.118189595518038,0.0
77,Clb6,13.118189595518038,0.0
78,MBF,13.118189595518038,0.0
79,Nrm1,13.118189595518038,1.0
80,Cdh1,14.21965297131242,0.0
81,Clb6,14.21965297131242,0.0
82,MBF,14.21965297131242,0.0
