,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,cell_size,SPN,SPOC,sim.who,last_DIV,last_TG1,last_size_at_birth,Trex
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5282683532191673,0,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.605023068832717,0,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.6492956429342095,0,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0.8505383073847984,1,1,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.6308624303579708,0.41840887401145943,0,M,0,0,0,0
0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.626651400099908,0,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.7324589509450642,0.41519954687885186,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0.5584946941659369,0,1,M,0,0,0,0
0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0.7671798063360037,0.07203656592273945,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.6721849753437591,0.1406180678900137,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.45780533740951035,0,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5367753418975998,0,0,M,0,0,0,0
0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.6978762694057472,0,0,M,0,0,0,0
0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.6895142205493707,0,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4074269458354151,0,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.6574802087480666,0.14252762805026664,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.8076785734555951,0.4206436510650534,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.599761830682287,0,0,M,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0.6828283842843162,1,0.9843816413072062,M,0,0,0,0
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6188612324925875,0,0,M,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3868018875532399,0,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5871835129400975,0,0,D,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.8541888187533404,0.9799449034710243,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.44447004625167497,0,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5186671651166148,0,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0.4209672937167206,0,1,D,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0.8533248639135281,1,0.28062698055737406,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0.4925120938569994,0,1,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4422220661177831,0,0,D,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0.7453467722868485,1,0.41860395526432104,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5448009498544828,0,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4035961236442209,0,0,D,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0.7116648800302257,1,1,D,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.8537505080815966,0.561716902511193,0,D,0,0,0,0
0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.8735283156366752,0,0,D,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0.7996868625420663,1,0.06769489031120625,D,0,0,0,0
0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0.7162225135016373,0.06985988781033457,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6111172605767825,0,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6079638530521998,0,0,D,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6190488392626112,0,0,D,0,0,0,0
